Date,Close/Last,Volume,Open,High,Low
10/13/2023,$314.69,21360790,$323.53,$325.0502,$312.37
10/12/2023,$324.16,20530520,$328.00,$330.54,$322.69
10/11/2023,$327.82,22036300,$323.005,$328.835,$322.95
10/10/2023,$321.84,19037970,$319.12,$324.66,$318.16
10/09/2023,$318.36,22503660,$312.50,$320.33,$311.82
10/06/2023,$315.43,21803860,$301.44,$316.31,$300.9148
10/05/2023,$304.79,19129960,$304.625,$306.208,$299.50
10/04/2023,$305.58,16880480,$298.725,$306.90,$298.50
10/03/2023,$300.94,17362250,$304.26,$306.77,$299.64
10/02/2023,$306.82,16265570,$302.74,$307.18,$301.63
09/29/2023,$300.21,25373700,$307.38,$310.64,$299.36
09/28/2023,$303.96,22167080,$298.935,$306.3299,$296.70
09/27/2023,$297.74,36429840,$300.45,$301.2997,$286.79
09/26/2023,$298.96,19417160,$297.66,$300.2999,$296.0101
09/25/2023,$300.83,18987010,$295.64,$300.95,$293.70
09/22/2023,$299.08,25369590,$299.30,$305.38,$298.27
09/21/2023,$295.73,21319580,$295.70,$300.2566,$293.27
09/20/2023,$299.67,19379520,$305.05,$308.06,$299.43
09/19/2023,$305.07,15931620,$302.48,$306.17,$299.81
09/18/2023,$302.55,14234160,$298.19,$303.60,$297.80
09/15/2023,$300.31,28131140,$311.61,$312.00,$298.75
09/14/2023,$311.72,19343100,$306.74,$312.87,$305.03
09/13/2023,$305.06,13210920,$302.36,$307.18,$301.3206
09/12/2023,$301.66,13480400,$306.33,$308.6599,$300.23
09/11/2023,$307.56,19489330,$301.41,$309.04,$301.28
09/08/2023,$297.89,17572200,$299.22,$305.25,$296.78
09/07/2023,$298.67,33748740,$298.00,$307.0499,$292.22
09/06/2023,$299.17,15418090,$301.71,$303.30,$295.66
09/05/2023,$300.15,14955990,$297.02,$301.39,$295.51
09/01/2023,$296.38,12842260,$299.37,$301.74,$294.47
08/31/2023,$295.89,17229870,$295.80,$301.10,$295.66
08/30/2023,$295.10,17717020,$297.17,$298.29,$293.43
08/29/2023,$297.99,20844520,$288.585,$299.15,$288.18
08/28/2023,$290.26,14239290,$288.00,$291.45,$285.80
08/25/2023,$285.50,23701440,$286.13,$288.386,$276.03
08/24/2023,$286.75,18360880,$298.50,$299.46,$286.64
08/23/2023,$294.24,18287000,$288.50,$297.40,$287.67
08/22/2023,$287.60,12999910,$292.55,$292.90,$286.75
08/21/2023,$289.90,20181480,$283.45,$290.50,$281.85
08/18/2023,$283.25,35347930,$279.03,$285.69,$274.38
08/17/2023,$285.09,23950090,$293.05,$296.05,$284.95
08/16/2023,$294.29,18547740,$300.195,$301.08,$294.28
08/15/2023,$301.95,11623610,$306.14,$307.23,$300.03
08/14/2023,$306.19,15641920,$300.98,$306.21,$298.25
